Coordinates,Exposure of S. caninervis,Number of S. caninervis sporophytes,Stem height,Stem height:  exposed,Stem height: shaded,Number of inflorescences,No. Infl. per expressing ramet: exposed,No. Infl. per expressing ramet: shaded,"Sex (M,F,S)",Stem height sorted,No.  inflor by sorted st ht,No.  inflor sorted,St ht sorted by no. infl,Syntrichia caninervis cover,Syntrichia ruralis cover,Bryum algovicum cover,Bryum argenteum cover,Pterogoneurum spp. cover,Grimmia cover,Unknown sp. cover,Total bryophyte cover,Total lichen cover,Total cryptogam cover,,
T2 210,O,,1.3,2.1,2.5,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.7,2.1,2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.8,2.9,2.6,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.2,2.5,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.3,2.3,2.3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.7,2.2,2.9,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.1,1,3.2,0,,,S,1.4,1,0,1.4,,,,,,,,,,,,
T2 225,O,0,1.7,1.9,2,0,,,S,1.4,0,0,1.4,2.50%,0%,2.50%,0%,0%,0%,0%,5.00%,0%,5.0%,,
T2 225,O,,1.9,1.6,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.5,2.5,3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.4,1.3,3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.3,1.2,2.1,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.2,1.6,1.7,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1,1.6,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.3,2.2,2.5,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 225,O,,1.2,2.1,2.2,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 225,O,,1.1,2,3.1,0,,,S,1.4,2,0,1.5,,,,,,,,,,,,
T2 240,,0,,1.4,1.9,,,,,1.4,0,0,1.5,0%,0%,0%,0%,0%,0%,0%,0%,10%,10.0%,,
T2 255,O,0,1.9,2.4,2,0,,,S,1.4,0,0,1.5,5%,0%,2.50%,0%,0%,0%,0%,8%,2.5%,10.5%,,
T2 255,O,,0.9,2.4,1.2,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 255,O,,1.3,1.3,1.5,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 255,O,,1.2,1.2,1.2,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 255,O,,0.9,1.9,1.4,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 255,O,,0.8,0.5,1.6,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 255,O,,0.9,0.9,1.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 255,O,,1.1,2,2.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 255,O,,1.9,1.8,1.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 255,O,,1.2,2,2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,0,1.9,2.5,0.8,0,,,S,1.5,0,0,1.5,5%,0%,0%,0%,0%,0%,0%,5%,0%,5.0%,,
T2 270,O,,2.2,2,2.1,1,,,F,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.8,1.3,1.3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.6,1.6,1.8,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,2,1.1,0.7,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.5,0.6,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.6,2.6,,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.5,2.3,3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1,1.5,2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 270,O,,1.2,2.8,2.2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,0,2.2,2.5,2.2,0,,,S,1.5,0,0,1.5,2.50%,0%,0%,0%,0%,0%,0%,2.50%,0%,2.5%,,
T2 285,I,,1.7,2.5,3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,2.6,1.9,2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,2,2,2.3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,2,2.3,2.3,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
T2 285,I,,2.8,2,2,0,,,S,1.5,0,0,1.5,,,,,,,,,,,,
